0,0.0,0.1008,1.9134,0.062,0.0079,0.0749
1,2.0,0.4345,0.0805,0.4479,0.011,0.0124
2,4.0,0.4811,0.0791,0.3045,0.0102,0.0173
3,6.0,0.4114,0.0734,0.2534,0.0133,0.0266
4,8.0,0.3956,0.099,0.2569,0.0116,0.0294
5,10.0,0.3714,0.0724,0.2736,0.0125,0.0378
6,12.0,0.3995,0.0782,0.2561,0.013,0.0257
7,14.0,0.4477,0.0752,0.2268,0.0112,0.0332
8,16.0,0.419,0.0853,0.2086,0.0121,0.0305
9,18.0,0.354,0.0725,0.2375,0.0121,0.0296
10,20.0,0.369,0.0781,0.2539,0.0128,0.0342
11,22.0,0.4345,0.1195,0.4895,0.0169,0.0258
12,24.0,0.3183,0.1178,0.4561,0.0147,0.0176
13,26.0,0.3767,0.1099,0.4673,0.0173,0.0187
14,28.0,0.3489,0.1243,0.5358,0.0144,0.0152
15,40.0,0.1047,0.0893,0.3434,0.0135,0.0322
16,42.0,0.0967,0.1,0.4408,0.0152,0.0267
17,44.0,0.0714,0.0965,0.4767,0.0161,0.0225
18,46.0,0.0916,0.1122,0.5163,0.018,0.0222
19,48.0,0.0992,0.1234,0.5675,0.0165,0.0189
20,50.0,0.0877,0.118,0.5399,0.0181,0.0202
21,52.0,0.0766,0.1133,0.5851,0.0177,0.0176
22,54.0,0.0747,0.1196,0.6062,0.0157,0.0157
23,56.0,0.0769,0.1256,0.5443,0.0128,0.0205
24,58.0,0.0786,0.1269,0.6399,0.0143,0.0154
25,60.0,0.0781,0.1138,0.602,0.0127,0.0142
